abv,ibu,id,name,style,,brewery_id,ounces
0.045,50,2692,Get Together,American IPA,,1,16
0.049,26,2691,Maggie's Leap,Milk / Sweet Stout,,1,16
0.048,19,2690,Wall's End,English Brown Ale,,1,16
0.06,38,2689,Pumpion,Pumpkin Ale,,1,16
0.06,25,2688,Stronghold,American Porter,,1,16
0.056,47,2687,Parapet ESB,Extra Special / Strong Bitter (ESB),,1,16
0.08,68,2686,Citra Ass Down,American Double / Imperial IPA,,1,16
0.125,80,2685,London Balling,English Barleywine,,1,16
0.077,25,2684,35 K,Milk / Sweet Stout,,1,16
0.042,42,2683,A Beer,American Pale Ale (APA),,1,16
0.05,25,2682,Rules are Rules,German Pilsener,,1,16
0.066,21,2681,Flesh Gourd'n,Pumpkin Ale,,1,16
0.04,13,2680,Sho'nuff,Belgian Pale Ale,,1,16
0.055,17,2679,Bloody Show,American Pilsner,,1,16
0.076,68,2678,Rico Sauvin,American Double / Imperial IPA,,1,16
0.051,38,2677,Coq de la Marche,Saison / Farmhouse Ale,,1,16
0.065,,2676,Kamen Knuddeln,American Wild Ale,,1,16
0.06,65,2675,Pile of Face,American IPA,,1,16
0.05,20,2674,The Brown Note,English Brown Ale,,1,16
0.052,18,2673,House Lager,Keller Bier / Zwickel Bier,,1,16
0.048,15,2672,Leisure Time,American Pale Lager,,1,12
0.072,80,2671,Excess IPL,American India Pale Lager,,1,16
0.067,65,2670,Hoponius Union,American India Pale Lager,,1,12
0.049,45,2669,Calyptra,American India Pale Lager,,1,12
0.08,100,2668,Habitus (2014),American Double / Imperial IPA,,1,16
0.075,85,2667,Solis,American IPA,,1,16
0.06,24,2666,Jucundus,Wheat Ale,,1,16
0.08,100,2664,Habitus,American Double / Imperial IPA,,1,16
0.063,30,2663,Grazias,Cream Ale,,1,16
0.058,28,2662,Claritas,Kölsch,,1,16
0.047,19,2661,Park,American Pale Wheat Ale,,1,12
0.056,16,2660,Westfalia,American Amber / Red Ale,,1,12
0.046,17,2659,KSA,Kölsch,,1,12
0.063,42,2658,Villager,American IPA,,1,12
0.093,,2657,Blackbeard,American Double / Imperial Stout,,1,12
0.062,,2656,Rye Knot,American Brown Ale,,1,12
0.06,,2655,Dead Arm,American Pale Ale (APA),,1,12
0.048,,2654,32°/50° Kölsch ,Kölsch,,1,16
0.077,,2653,HopArt,American IPA,,1,16
0.097,,2652,Boy King,American Double / Imperial IPA,,1,16
0.05,,2650,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),,1,12
0.087,,2649,Hibernation Ale,Old Ale,,1,12
0.061,,2648,Whitewater,American Pale Wheat Ale,,1,12
0.071,,2647,Rumble,American IPA,,1,12
0.083,,2646,Orabelle,Tripel,,1,12
0.05,,2645,Lasso,American IPA,,1,12
0.095,75,2644,Yeti  Imperial Stout,Russian Imperial Stout,,1,12
0.073,,2643,Colette,Saison / Farmhouse Ale,,1,12
0.071,,2642,Titan IPA,American IPA,,1,12
0.065,35,2640,Peck's Porter,American Porter,,1,16
0.07,,2448,Reactor,American IPA,,1,16
0.057,,2447,Mr. Orange,Witbier,,1,16
0.08,54,2639,Dark Star,American Stout,,1,16
0.062,,2469,Ryecoe,American IPA,,1,16
